credit_policy,purpose,interest_rate,installment,annnual_income,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid
1,home_improvement,0.0807,78.42,110000,11.33,762,6059.96,7274,13.1,0,0,0,0
1,credit_card,0.087,158.3,75000,15.55,757,4770,66033,23,0,0,0,0
1,all_other,0.0743,155.38,95000,3.83,772,2535,3660,6.8,0,0,0,0
1,credit_card,0.0743,155.38,85000,0.31,787,3540,216,0.6,0,0,0,0
1,credit_card,0.1122,164.23,80000,1.21,672,3990,27185,16.1,3,0,1,0
1,debt_consolidation,0.0996,161.25,48000,8.03,707,4320,28329,48.6,1,0,0,0
1,home_improvement,0.0933,159.77,180000,11.93,717,4498.96,60568,39.2,1,0,0,0
1,home_improvement,0.0807,156.84,180000,5.55,742,4019,40934,26.3,0,0,0,0
1,debt_consolidation,0.0743,155.38,120000,2.29,777,3540,8379,16.9,0,0,0,0
1,small_business,0.087,94.98,25000,14.54,752,2460,3660,7.8,1,0,0,0
1,home_improvement,0.1028,97.2,200000,0,677,3779.96,0,0,0,1,0,0
1,credit_card,0.1122,164.23,30000,18.64,702,5190,15840,47.1,0,0,0,0
1,credit_card,0.0838,167.02,74000,14.37,797,5610.96,6844,14.4,0,0,0,0
1,educational,0.0775,168.6,8000,3,762,6659.96,1321,16.5,0,0,0,0
1,all_other,0.0838,160.72,32000,14.78,772,4379,4737,23.9,0,0,0,0
1,credit_card,0.0901,159.03,73000,9.96,722,3089.96,23489,37.6,0,0,0,0
1,debt_consolidation,0.0743,178.69,125000,0.27,792,7488.96,2817,10.2,0,0,0,0
1,credit_card,0.0743,155.38,45000,1.12,782,5807,1783,0,1,0,0,0
1,small_business,0.1028,323.98,27376,10.7,712,1379,3534,54.4,0,0,0,0
1,small_business,0.1059,813.65,48000,4.05,762,2729.96,2422,23.3,0,0,0,0
1,educational,0.0996,112.87,13500,16.44,712,1649.96,2864,41.1,1,0,0,0
1,debt_consolidation,0.1596,94.88,52200,12.57,627,1409,3075,92.3,1,0,0,0
1,small_business,0.1059,398.69,60000,17.12,747,14008.96,17214,8.1,2,1,0,0
1,credit_card,0.1154,39.6,20000,2.04,662,1139,1153,75.8,2,0,0,0
1,credit_card,0.1343,678.08,145000,10.15,682,4209.96,41674,74.1,0,0,0,1
1,credit_card,0.1249,401.37,75000,15,682,4479,43039,93.4,3,0,0,0
1,all_other,0.0964,205.45,60000,7.72,712,2293.96,3362,69.3,0,0,0,0
1,debt_consolidation,0.1186,397.75,65000,7.14,682,8730,11868,71.9,0,2,0,0
1,all_other,0.0743,155.38,40000,2.55,772,8189.96,2562,14,2,0,0,0
1,all_other,0.1028,113.39,20000,1.5,682,1410,1882,32.4,0,0,0,0
1,debt_consolidation,0.1186,99.44,36153,7.47,667,2550,1064,70.9,2,0,1,0
1,credit_card,0.0807,109.79,98000,8.52,752,4979.96,6432,6,0,1,0,0
1,all_other,0.1059,32.55,33990,14.47,687,1110,4485,36.9,1,0,0,1
1,all_other,0.0996,112.87,78000,11.06,702,4979.96,16310,20.5,0,1,0,0
1,debt_consolidation,0.0964,160.51,130000,8.55,712,5940,20969,40.2,0,0,0,0
1,debt_consolidation,0.1375,340.57,35000,17.38,707,2699.96,22213,65.9,0,0,0,0
1,home_improvement,0.0775,156.11,225000,6.48,752,5339.96,2160,2.3,1,0,0,0
1,credit_card,0.0743,155.38,70000,4.56,812,9809,813,1,0,0,0,0
1,home_improvement,0.0807,235.25,150000,2.72,757,5202,23678,24.4,4,0,0,0
1,debt_consolidation,0.0996,257.99,48000,15.13,722,2640,11289,47.8,3,0,0,0
1,small_business,0.1501,225.37,213000,6.45,677,6240,56411,75.3,0,0,0,1
1,home_improvement,0.0964,80.26,75000,20,772,4920.96,269,3.8,3,0,0,1
1,home_improvement,0.128,84,32000,20,682,5492,3408,35.1,1,0,0,1
1,debt_consolidation,0.1122,507.46,40000,13.5,712,5368.96,6513,34.3,3,0,1,1
1,educational,0.0743,124.31,40000,3.45,772,1739.96,330,11,0,0,0,0
1,credit_card,0.087,63.32,70000,6.07,712,2550,5967,19.8,1,0,0,0
1,all_other,0.1091,130.79,18000,18,707,2192,5533,79.6,1,0,0,0
1,home_improvement,0.0775,93.67,125000,2.14,762,8370,21050,1,0,0,0,0
1,all_other,0.0775,93.67,50000,5.35,762,8370,21050,0.7,0,0,0,0
1,all_other,0.087,88.65,120000,15,742,3026,8155,14.9,1,0,0,0
1,all_other,0.0964,128.41,100000,15,722,3026,8155,14.9,1,0,0,0
1,home_improvement,0.087,94.98,62000,12.23,737,2729.96,3678,30.7,0,0,0,0
1,debt_consolidation,0.1217,179.8,35000,7.1,662,2944,2040,36.2,2,0,0,0
1,credit_card,0.1533,444.05,60000,19.52,667,2700.96,33074,68.8,2,0,0,0
1,all_other,0.0775,124.89,61800,3.46,747,2519,1918,17.1,0,0,0,0
1,credit_card,0.1533,644.3,90000,5.24,662,1770,22379,62.2,0,0,0,0
1,small_business,0.0964,642.02,96000,2.86,737,2190,10296,42.5,0,0,0,1
1,small_business,0.1154,104.76,15000,12.24,672,1289.96,2867,55.1,3,0,0,1
1,debt_consolidation,0.1122,157.66,30000,12.36,682,1770,12310,86.1,0,0,0,0
1,debt_consolidation,0.087,383.87,150000,4.8,767,13349.96,61921,39.1,0,0,0,0
1,credit_card,0.1122,217.6,88000,18,702,3725,16738,26.1,2,0,0,0
1,all_other,0.0807,297.99,63000,3.49,792,5939,40384,9.2,1,0,0,0
1,debt_consolidation,0.0775,156.11,45000,5,762,2131,1359,5.6,2,0,0,0
1,debt_consolidation,0.1154,329.95,225000,20,727,10292,107501,44.8,2,0,0,0
1,all_other,0.0807,313.67,173000,0.72,787,8010,3054,5.6,3,0,0,0
1,all_other,0.0807,297.99,90000,2.44,792,8717.96,40384,9.6,0,0,0,0
1,home_improvement,0.0933,239.65,93000,9.66,792,4529,128000,0,3,0,0,0
1,debt_consolidation,0.0712,61.87,118000,0.43,772,5936,4709,18.5,0,0,0,0
1,all_other,0.1186,94.47,45000,2.8,667,5460,2850,75,0,1,0,0
1,small_business,0.1501,73.68,96000,16.89,702,4080,51,0,0,0,0,1
1,home_improvement,0.0807,313.67,150000,5.84,792,5364.96,37152,3.7,0,0,0,0
1,debt_consolidation,0.0933,543.2,75000,9.55,762,5699.96,3839,16.6,1,0,0,0
1,home_improvement,0.0807,313.67,85000,3.11,797,5363.96,37152,3.7,0,0,0,0
1,credit_card,0.1217,266.37,70000,10.2,672,3598.96,26283,39.5,0,1,0,1
1,debt_consolidation,0.1028,210.6,45000,5.87,692,1741.96,5607,42.2,0,0,0,0
1,all_other,0.1249,234.15,23000,5.01,662,1110,1061,81.9,3,0,0,0
1,debt_consolidation,0.1028,323.99,120000,14.4,722,4679.96,56740,77.5,1,0,0,0
1,credit_card,0.1059,235.96,57000,7.22,712,5519,40598,77.3,1,0,0,0
1,debt_consolidation,0.1438,352.22,72000,17.83,687,1289.96,3815,6.5,1,0,0,0
1,all_other,0.0743,117.31,120000,0,772,3929.96,0,0,1,0,0,0
1,debt_consolidation,0.0712,64.96,110000,0.22,812,16213,50,0.3,0,0,0,0
1,small_business,0.1565,699.69,92000,1.53,667,3603.96,4569,56.4,1,0,0,0
1,educational,0.1059,195.27,19000,8.15,692,3089.96,8528,86.1,0,0,0,0
1,credit_card,0.1122,295.59,32400,22.15,747,2788.96,14345,45.8,0,0,0,0
1,small_business,0.1122,217.59,50000,18.38,707,3359,113,2.4,1,0,0,0
1,debt_consolidation,0.1375,263.09,62200,9.8,677,3089.96,12231,81,3,0,0,1
1,debt_consolidation,0.1467,248.43,57000,20.76,667,3750,13552,69.1,0,1,0,0
1,credit_card,0.1028,194.4,87300,10.6,692,2489.96,16813,63.9,0,0,0,0
1,debt_consolidation,0.1249,301.04,39000,5.08,667,3690,26233,62.9,3,0,1,1
1,all_other,0.0743,163.92,85000,2.64,782,9210,5760,16,0,0,0,0
1,all_other,0.1028,150.66,45600,3.26,687,6509.96,105,35,1,1,0,1
1,debt_consolidation,0.1122,217.59,57100,13.77,682,2160,11490,95.7,0,0,0,0
1,home_improvement,0.1312,85.23,40000,20.67,692,5250,17641,30.5,3,1,0,0
1,all_other,0.1122,328.43,30000,20.4,742,3270,0,0,3,0,0,0
1,all_other,0.0807,165.47,55000,12,797,8790,12430,19.2,1,0,0,0
1,debt_consolidation,0.1091,140.6,36000,9.87,707,1560,12323,44,0,0,0,0
1,all_other,0.1028,98.01,90000,9.13,697,3300,38624,97.8,0,0,0,0
1,small_business,0.1217,166.48,10000,0,662,2250,875,54.7,2,1,0,1
1,small_business,0.1249,284.32,85000,6.38,667,7229.96,1196,12,3,4,0,0
1,small_business,0.1438,194.15,480000,2.4,697,2759.96,26628,60.4,3,1,0,0
1,all_other,0.1028,138.51,31000,24.81,767,5789.96,6752,24.6,2,0,0,0
1,debt_consolidation,0.1249,70.25,12500,14.4,662,1469,458,91.6,1,0,0,1
1,credit_card,0.0838,252.1,105000,9.71,752,3508.96,16786,44.7,0,0,0,0
1,all_other,0.0901,263.19,120000,12.16,742,9719.96,7336,29.9,0,0,0,0
1,all_other,0.0933,104.65,62000,3.83,702,3690,7089,41.9,1,0,0,0
1,debt_consolidation,0.0807,172.53,54000,6.29,742,5100,18388,68.9,0,0,0,0
1,credit_card,0.0996,38.7,32000,1.13,677,1920,613,76.6,2,0,0,0
1,educational,0.1249,100.35,29120,12.77,662,1110,566,51.5,3,1,0,1
1,debt_consolidation,0.128,335.98,36400,18.92,682,2219,9166,50.4,1,0,0,0
1,all_other,0.1091,163.49,39000,11.78,707,4889,5406,33.4,0,0,1,1
1,all_other,0.0996,32.25,35000,5.83,687,2158.96,1188,3,2,0,0,1
1,educational,0.0996,96.75,18000,15.4,707,11248.96,12003,40.4,1,0,0,0
1,all_other,0.1059,72.42,60000,8.14,707,4800,20511,62,1,0,0,1
1,small_business,0.0964,90.68,70000,18,732,3691,55720,10,2,0,0,0
1,all_other,0.0807,259.58,49000,9.89,772,9870,7744,17.1,0,0,0,0
1,all_other,0.0964,169.32,70000,17.57,737,5429.96,51761,38,1,0,0,0
1,credit_card,0.1154,205.4,45000,17.76,717,1500,579,23.2,0,0,0,0
1,debt_consolidation,0.1312,162.01,85000,16.87,707,9059.96,34776,54.3,0,0,0,1
1,debt_consolidation,0.1028,226.8,55400,10.05,692,1890,8047,33.8,0,0,0,0
1,all_other,0.1059,162.73,15000,24.4,737,3209.96,0,0,3,0,0,0
1,debt_consolidation,0.1154,158.38,25000,18.19,672,2586,409,81.8,0,1,0,0
1,small_business,0.0901,795.11,57000,8.93,822,9696.96,185,0.5,0,0,0,0
1,debt_consolidation,0.0996,158.83,84000,4.84,727,6330,48251,50.1,2,0,0,0
1,all_other,0.1028,97.2,38000,19.93,687,2580,772,96.5,0,0,0,0
1,debt_consolidation,0.1154,263.97,50000,8.04,672,3089,1019,4.5,1,1,0,0
1,small_business,0.1091,404.62,46713,16.39,692,5640,8332,39.9,2,0,0,0
1,all_other,0.0775,307.53,70000,9.09,797,6089.96,1790,4.5,1,0,0,0
1,debt_consolidation,0.128,839.95,75000,24.85,722,6330,62739,74.7,3,0,0,1
1,all_other,0.1059,269.31,109000,24.01,767,4665.96,29901,71.2,2,0,0,1
1,debt_consolidation,0.1186,265.18,52000,11.31,667,1560,5867,74.3,1,0,0,0
1,home_improvement,0.0964,802.47,78000,0.8,732,2129.96,10605,22.1,1,0,0,0
1,debt_consolidation,0.1091,505.16,120000,16.97,697,9659,57196,44.5,3,0,0,1
1,home_improvement,0.0901,318.05,275000,2.97,712,4919,481,80.2,2,0,0,1
1,educational,0.0838,315.12,30000,4.2,737,1560,2282,19,1,0,0,0
1,all_other,0.1091,130.79,14400,8.92,672,1140,3614,61.3,1,0,0,0
1,debt_consolidation,0.1059,227.82,63500,8.5,682,6839.96,14930,79,1,0,1,0
1,credit_card,0.0996,643.36,116000,13.07,727,10529.96,33989,82.9,0,0,0,0
1,all_other,0.147,51.78,25000,3.84,632,1530,1238,61.9,1,1,0,0
1,educational,0.0901,572.48,41000,15.37,747,7500,4746,18.5,2,0,0,0
1,all_other,0.0775,149.87,21000,6.34,752,3029,3470,25.5,0,0,0,0
1,all_other,0.0996,96.75,62000,11.98,682,1799,12640,83.2,0,0,0,0
1,home_improvement,0.0712,92.8,93000,0,812,8250,368,1.2,0,0,0,0
1,credit_card,0.1091,192.09,66000,19.82,677,4290,30597,89.5,1,1,0,0
1,all_other,0.1154,593.92,27000,10.8,682,5050,8537,75.5,0,0,0,0
1,debt_consolidation,0.1091,392.36,35000,15.74,692,1500.04,15649,54.5,2,0,0,0
1,educational,0.0775,156.11,52000,9.55,767,12960.04,4067,7.3,0,0,0,0
1,debt_consolidation,0.1028,155.52,35000,7.51,687,2795,5836,68.7,0,0,1,0
1,credit_card,0.1028,485.99,88000,11.95,702,5070,24615,94.7,0,0,0,0
1,all_other,0.1028,116.64,30000,7.88,687,5130.04,7600,71.7,0,0,1,0
1,debt_consolidation,0.1122,223.34,51000,18.68,682,1889.04,9495,87.9,2,0,0,1
1,credit_card,0.0775,149.87,20000,10.26,757,6330.04,4921,30.4,0,0,0,0
1,educational,0.1154,211.17,95000,1.83,667,3421.04,11200,23.2,1,0,0,0
1,debt_consolidation,0.0743,186.45,68686,6.11,777,7440.04,2444,5.6,3,0,0,0
1,debt_consolidation,0.0933,790.86,60000,0.82,767,2100,916,6.8,0,0,0,0
1,small_business,0.0901,795.11,616000,3.83,782,3660,148829,6.6,5,0,0,1
1,credit_card,0.087,126.65,44000,18.71,747,3630,3209,12.6,0,0,0,0
1,credit_card,0.1091,294.27,80000,17.17,677,3840.04,7570,82.3,0,0,0,0
1,debt_consolidation,0.1091,404.62,80000,9.23,687,2519,13126,96.5,0,0,1,0
1,debt_consolidation,0.1186,397.77,150000,20.48,687,4452.04,66654,51.6,1,0,0,0
1,debt_consolidation,0.0743,178.68,95000,1.2,812,16259.04,50,0.3,0,0,0,0
1,educational,0.1028,29.16,12000,16.7,687,2069,3084,65.6,3,0,0,1
1,small_business,0.0996,417.62,92000,6.48,712,5610.04,2598,23.8,1,0,0,0
1,credit_card,0.1059,130.18,62000,17.81,682,6330.04,18168,68.5,2,0,0,0
1,all_other,0.1122,98.53,32904,22.79,682,9389,24218,85.3,2,0,0,0
1,all_other,0.0807,15.69,18000,4.27,722,1470,0,0,0,0,0,0
1,credit_card,0.1091,523.14,200000,10.7,697,7320,72303,73.7,1,0,0,0
1,all_other,0.087,557.23,153000,0.12,757,1128.04,1032,5,0,0,0,0
1,all_other,0.1122,315.3,42500,14.6,677,3630,133,4.2,1,0,0,0
1,debt_consolidation,0.1154,527.93,44400,12.16,682,2130,34023,57.7,1,2,0,1
1,major_purchase,0.0743,93.23,72000,11.18,757,4500.04,12430,29.6,5,0,0,0
1,debt_consolidation,0.0775,202.94,48000,13.53,787,10260.04,10742,8.9,3,0,0,0
1,debt_consolidation,0.1186,165.74,40000,7.02,667,2789.04,2197,75.8,0,2,0,1
1,all_other,0.1028,158.76,44000,15.3,692,4410,88,23.8,1,3,0,1
1,debt_consolidation,0.1028,485.99,50000,11.88,702,7020.04,13867,33.7,0,0,0,0
1,all_other,0.0996,322.49,72500,10.28,702,4920.04,3943,98.6,3,0,0,1
1,debt_consolidation,0.087,189.97,24000,19.45,757,3870.04,5405,40,2,0,0,0
1,debt_consolidation,0.1217,376.24,33600,23.96,712,3030.04,12102,49,1,0,0,0
1,debt_consolidation,0.1217,599.33,110244,18.3,682,4379,18076,81.4,1,0,0,0
1,debt_consolidation,0.1217,132.35,27000,23.2,702,5279.04,4504,39.2,1,0,0,1
1,small_business,0.1186,828.69,52000,9.74,712,4859.04,25852,60.5,0,0,0,0
1,credit_card,0.1091,604.88,52000,17.56,707,8061,32438,43,0,1,0,0
1,debt_consolidation,0.087,538.23,55900,11.51,747,6240.04,20380,48.1,2,0,0,0
1,credit_card,0.0933,172.55,42000,16.09,707,2220,38054,61.2,0,0,0,0
1,small_business,0.1091,604.88,36000,4.67,697,1410,25,0.2,2,0,0,0
1,all_other,0.0996,290.24,38000,3.38,697,1782,3305,55.1,2,0,0,0
1,major_purchase,0.1186,530.36,86400,15.1,682,3900,348,4.8,0,0,0,1
1,all_other,0.087,158.31,24000,6.15,722,1350,3015,25.3,0,0,0,0
1,debt_consolidation,0.1059,390.54,30000,19.84,702,2042.04,7336,71.9,1,0,0,0
1,credit_card,0.1249,301.04,52000,4.98,662,6630.04,8644,72.6,1,0,0,0
1,small_business,0.1154,659.91,96000,17.81,707,3629,93,0,2,0,0,1
1,small_business,0.0743,217.52,43000,1.65,777,2879,2698,9.5,0,0,0,0
1,home_improvement,0.1028,388.79,97000,5.58,697,4800.04,19009,30,0,0,0,0
1,major_purchase,0.087,158.31,48000,0.38,717,12930.04,498,7.3,2,1,0,0
1,debt_consolidation,0.1217,319.64,60000,19.28,672,4740,10358,91.7,2,0,1,1
1,credit_card,0.1028,103.68,75000,9.7,682,12780,2105,45.3,0,3,0,0
1,home_improvement,0.0964,154.08,60000,12.94,697,2969.04,2822,9.9,3,0,0,0
1,debt_consolidation,0.1059,650.9,108000,11.96,707,5070,21004,97.7,0,0,0,0
1,all_other,0.1375,81.74,47000,24.08,667,2820,11675,75.8,1,0,0,0
1,all_other,0.0901,238.54,19440,10.37,712,1230.04,3933,43.7,0,0,0,0
1,debt_consolidation,0.128,335.98,58800,7.51,662,4109.04,7251,80.6,3,0,2,0
1,all_other,0.1217,93.23,45000,19.19,692,4440.04,88,44,1,3,0,1
1,all_other,0.0933,95.87,36600,2.69,697,4680,1492,33.2,2,0,0,0
1,debt_consolidation,0.0996,95.94,25000,14.16,692,1918.04,7121,33.7,0,0,0,0
1,debt_consolidation,0.128,554.37,62000,19.22,677,3060.04,17641,69.5,2,0,0,0
1,small_business,0.1438,859.07,80000,20.79,682,3059.04,30946,61.5,3,0,0,1
1,major_purchase,0.0838,472.68,77000,7.96,772,5909.04,0,0,0,0,0,0
1,credit_card,0.1091,586.9,75000,10.34,697,2669.04,23391,90.7,1,0,0,0
1,major_purchase,0.0964,224.69,19500,21.23,772,5881,16324,48,0,0,0,0
1,debt_consolidation,0.128,483.81,36120,8.47,662,2670.04,7104,93.5,2,0,0,1
1,debt_consolidation,0.1217,399.55,24000,14.5,672,1950.04,9273,43.9,0,0,0,0
1,debt_consolidation,0.1186,232.04,50400,17.02,672,4380,6718,94.6,3,0,0,0
1,small_business,0.0964,802.47,75000,17.06,767,5691.04,12017,12.1,4,0,0,1
1,debt_consolidation,0.1091,304.9,70522.26,18.96,692,5430,5749,43.2,1,1,0,0
1,small_business,0.1249,836.23,78862,7.99,692,4739,6530,21.8,0,1,0,0
1,all_other,0.0775,124.89,24000,6,752,2729.04,2666,12.1,0,0,0,0
1,all_other,0.1028,113.4,48000,17.65,687,2070,3761,55.4,2,0,0,0
1,credit_card,0.1407,842.47,120000,12.81,677,5340.04,33698,91.3,0,0,0,0
1,debt_consolidation,0.1091,817.41,73000,22.13,737,9900,3472,4.5,1,0,0,1
1,debt_consolidation,0.1596,421.65,34992,20.82,667,6750.04,14534,48.9,3,1,0,0
1,educational,0.0933,575.17,60000,9.96,732,2732.04,6703,47.5,1,0,0,0
1,all_other,0.1312,405.03,105000,18.25,667,4358,5861,53.8,2,0,0,0
1,debt_consolidation,0.128,167.99,25480,18.65,662,1380,5061,72.3,0,1,0,0
1,debt_consolidation,0.0996,677.22,54099,3.77,722,6149,16888,39.5,0,0,0,0
1,all_other,0.1154,131.99,50952,9.14,667,3990,463,92.6,0,0,0,0
1,debt_consolidation,0.0933,281.2,25000,0,712,3360.04,0,0,0,1,0,0
1,debt_consolidation,0.0964,802.47,48000,9.78,742,2550,8283,12.7,4,0,0,0
1,credit_card,0.1091,505.16,111000,10.86,687,3420.04,46525,93.6,0,0,0,0
1,home_improvement,0.0743,180.23,41300,2.32,772,2610.04,2650,6.6,0,0,0,0
1,small_business,0.0933,798.84,100000,1.57,762,6359.04,17,0.1,5,0,0,1
1,all_other,0.0933,319.54,36500,19.46,727,4470.04,827,6.6,2,0,0,1
1,debt_consolidation,0.0964,32.1,5000,18,702,1200.04,961,26,2,0,0,0
1,debt_consolidation,0.0964,192.6,18000,2.87,697,1199.04,1554,29.3,1,0,0,0
1,home_improvement,0.1407,764.64,135000,3.66,672,5790,10753,52.3,2,3,0,1
1,all_other,0.0712,30.94,120000,0.65,792,3810.04,2227,3.8,1,0,0,0
1,credit_card,0.0901,381.66,100671.39,6.64,722,10290.04,7606,18.6,0,0,1,0
1,debt_consolidation,0.1249,301.04,60000,4.64,662,2222,8355,34.4,0,2,0,1
1,credit_card,0.1438,687.25,83000,16.05,667,2190,27293,86.6,0,0,0,0
1,debt_consolidation,0.0964,320.99,67000,3.6,712,2850,10157,26.2,0,1,0,0
1,small_business,0.147,862.97,87000,5.79,677,4739,4209,75.2,2,0,0,1
1,credit_card,0.0807,250.95,54000,10.44,767,3449.04,0,0,1,0,0,0
1,all_other,0.0743,87.01,29376,3.96,767,3930,1773,5,1,0,0,0
1,all_other,0.0775,62.45,24000,2.4,742,2290.04,949,55.8,1,0,0,1
1,home_improvement,0.1375,851.41,75000,19.78,687,2399.04,12308,43.6,2,0,0,1
1,credit_card,0.1059,244.09,39975,12.1,687,4019,7914,30.8,3,2,0,0
1,debt_consolidation,0.1438,687.25,42500,15.7,672,3690,9150,96.3,0,0,0,0
1,debt_consolidation,0.1122,656.86,38556,14.04,702,1800,21777,53.7,3,0,0,0
1,all_other,0.128,537.57,97188,12.43,667,2580,4281,63,3,0,0,0
1,debt_consolidation,0.0964,320.99,24960,8.17,712,3300,4475,63,0,0,0,0
1,debt_consolidation,0.0996,386.99,100000,8.17,707,3839.04,25413,45.2,2,0,0,0
1,small_business,0.0838,315.12,107000,2.28,742,4740,15043,65.2,2,0,0,0
1,major_purchase,0.1059,292.91,25920,5.56,682,1350.04,6353,39.5,2,0,0,0
1,debt_consolidation,0.0807,125.48,21600,10.33,742,1920.04,3737,55.8,1,0,0,0
1,debt_consolidation,0.0933,383.45,68640,7.47,717,5580.04,11370,41.6,0,2,0,0
1,debt_consolidation,0.1343,523.78,36000,17.4,667,10380.04,18403,73.3,0,1,0,0
1,all_other,0.1217,199.78,120000,6.81,662,2041.04,19504,77.3,0,0,0,0
1,debt_consolidation,0.0933,575.17,102000,16.95,747,3630,10463,8.2,2,0,0,0
1,debt_consolidation,0.0901,95.42,10000,6.72,707,3329,2808,51.1,3,1,0,0
1,debt_consolidation,0.0901,477.07,71000,6.88,742,4589.04,6297,14.5,0,0,0,0
1,all_other,0.0807,345.06,62000,14.07,792,7867.04,33060,21.7,0,0,0,0
1,all_other,0.1122,155.19,19800,23.03,717,2580,4500,13,0,0,0,1
1,home_improvement,0.0996,644.97,73992,13.28,732,1770,2344,9.8,1,0,0,0
1,all_other,0.0712,92.8,60600,1.19,797,6270.04,2907,4,0,0,0,0
1,debt_consolidation,0.0996,306.36,58000,21.93,727,4593.04,26218,28.7,2,0,0,0
1,debt_consolidation,0.1154,143.53,22000,24.71,707,1291.04,5967,25.5,0,0,0,0
1,credit_card,0.0964,288.89,112000,10.36,702,6119,27786,85.5,2,0,1,1
1,all_other,0.0933,87.88,112000,13.46,702,6120,27786,85.5,2,0,1,1
1,all_other,0.0901,381.66,120000,4.28,722,4080.04,7335,45.8,1,1,0,0
1,debt_consolidation,0.1122,197.06,49500,0,672,2519,0,0,1,1,0,0
1,credit_card,0.0807,83.92,40000,16.68,737,6988,19210,48.3,0,0,0,0
1,small_business,0.0964,481.48,40000,4.05,717,2759.04,11601,85.9,3,0,0,0
1,debt_consolidation,0.0996,253.16,26000,6.14,697,2040.04,991,34.2,1,0,0,0
1,all_other,0.0743,77.69,522000,2.45,762,6240,141287,9.4,5,1,0,0
1,all_other,0.1014,97,120000,8.71,687,2311.04,199,1.1,1,1,0,0
1,all_other,0.1046,259.87,120000,11.28,692,5018.04,63580,80.6,1,0,0,1
1,home_improvement,0.0743,124.3,62500,5.82,772,5430,773,4.8,0,0,0,0
1,debt_consolidation,0.133,67.68,18000,22,662,1470,1042,37.2,3,1,0,0
1,debt_consolidation,0.133,406.07,27000,7.16,662,1530.04,137,3.2,1,1,0,1
1,credit_card,0.0983,241.41,96000,2.69,712,4709,1944,47.4,0,0,1,0
1,small_business,0.1393,170.72,38000,20.72,662,7109.04,16613,18.3,1,1,0,1
1,educational,0.0838,293.85,12000,0,737,1139,0,0,1,0,0,0
1,credit_card,0.133,318.09,50000,17.04,662,6179,5181,97.8,3,0,1,0
